frame,id,type,x,y,z,kmh,gear
8983,2858,vehicle.bh.crossbike,   207.070,   195.074,     0.002,           0.00,0
8983,2848,vehicle.bh.crossbike,   293.457,   129.641,     0.002,           0.00,0
8983,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
8983,2859,vehicle.bh.crossbike,   264.212,   199.120,     0.003,           0.00,0
8983,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
8983,2872,vehicle.bh.crossbike,   313.378,   199.126,     0.003,           0.00,0
8983,2846,vehicle.bh.crossbike,   206.526,     1.995,     0.003,           0.00,0
8983,2834,vehicle.lincoln.mkz_2017,   124.726,    55.201,     0.032,           0.00,0
8983,2835,vehicle.tesla.model3,    93.000,    80.566,    -0.043,           0.00,0
8983,2849,vehicle.bh.crossbike,   268.398,   330.597,     0.003,           0.00,0
8983,2847,vehicle.bh.crossbike,   356.507,   330.745,     0.002,           0.00,0
8983,2843,vehicle.bh.crossbike,    92.455,   110.903,     0.003,           0.00,0
8983,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
8983,3225,vehicle.tesla.model3,   197.056,    59.892,     0.406,           0.04,1
8983,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
8983,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
8983,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
8983,2867,vehicle.bh.crossbike,   110.546,    59.619,     0.002,           0.00,0
8983,2845,vehicle.bh.crossbike,   294.047,    59.445,     0.003,           0.00,0
8983,2869,vehicle.bh.crossbike,   138.892,   199.075,     0.003,           0.00,0
8983,2862,vehicle.bh.crossbike,   335.126,   304.485,     0.003,           0.00,0
8983,2857,vehicle.bh.crossbike,    88.117,   151.246,     0.002,           0.00,0
8983,2866,vehicle.bh.crossbike,   242.515,   129.620,     0.003,           0.00,0
8983,2855,vehicle.bh.crossbike,    92.301,   257.234,     0.003,           0.00,0
8983,2870,vehicle.bh.crossbike,   226.623,   326.562,     0.002,           0.00,0
8983,2852,vehicle.bh.crossbike,   372.049,     2.017,     0.003,           0.00,0
